n_teams,round,n_obs,S1_naive_rmse,S2_smart_rmse,S3_online_rmse,S4_pure_ingame_rmse,naive_mean_rmse
6,1,6,265.2729848317055,229.85323085947493,228.60406728104726,,248.9305845009809
6,2,12,265.2729848317055,229.85323085947493,226.76925040669812,,248.9305845009809
6,3,18,265.2729848317055,229.85323085947493,225.84947646386462,,248.9305845009809
6,4,24,265.2729848317055,229.85323085947493,224.77811119842318,730.4031451571693,248.9305845009809
6,5,30,265.2729848317055,229.85323085947493,224.23228645209284,1246.772109418311,248.9305845009809
6,6,36,265.2729848317055,229.85323085947493,225.18375737305834,427.9642640773649,248.9305845009809
6,7,42,265.2729848317055,229.85323085947493,224.7213240887055,336.0100094328336,248.9305845009809
6,8,48,265.2729848317055,229.85323085947493,225.30608889391462,314.3721682072464,248.9305845009809
6,9,54,265.2729848317055,229.85323085947493,224.88903256888898,317.864697703376,248.9305845009809
6,10,60,265.2729848317055,229.85323085947493,224.4179504665923,328.9970275455309,248.9305845009809
12,1,12,265.2729848317055,229.85323085947493,229.02767565957603,,248.9305845009809
12,2,24,265.2729848317055,229.85323085947493,228.43846417581597,424.05605597784296,248.9305845009809
12,3,36,265.2729848317055,229.85323085947493,227.52582755223543,337.9298767368624,248.9305845009809
12,4,48,265.2729848317055,229.85323085947493,228.11686671703944,341.16817336041925,248.9305845009809
12,5,60,265.2729848317055,229.85323085947493,226.30978334517317,299.6714184685818,248.9305845009809
12,6,72,265.2729848317055,229.85323085947493,226.0771320279607,317.8688783582987,248.9305845009809
12,7,84,265.2729848317055,229.85323085947493,225.79717328926526,306.5751583501861,248.9305845009809
12,8,96,265.2729848317055,229.85323085947493,226.55997092562725,292.36075119832526,248.9305845009809
12,9,108,265.2729848317055,229.85323085947493,225.77814265279395,264.5787799777424,248.9305845009809
12,10,120,265.2729848317055,229.85323085947493,223.93548370749764,256.05159776300496,248.9305845009809
24,1,24,265.2729848317055,229.85323085947493,228.1249610023741,535.1839337182934,248.9305845009809
24,2,48,265.2729848317055,229.85323085947493,225.82799321808943,379.44826090274665,248.9305845009809
24,3,72,265.2729848317055,229.85323085947493,224.79535057800476,244.54622280719158,248.9305845009809
24,4,96,265.2729848317055,229.85323085947493,222.90428908464312,235.96142455696432,248.9305845009809
24,5,120,265.2729848317055,229.85323085947493,220.06908712651128,239.88704122974735,248.9305845009809
24,6,144,265.2729848317055,229.85323085947493,218.28303697157278,235.37262900146015,248.9305845009809
24,7,168,265.2729848317055,229.85323085947493,216.31081278590852,224.82085126079005,248.9305845009809
24,8,192,265.2729848317055,229.85323085947493,215.62625024022174,218.65092132262325,248.9305845009809
24,9,216,265.2729848317055,229.85323085947493,217.7941110559338,228.3432567576066,248.9305845009809
24,10,240,265.2729848317055,229.85323085947493,217.54128907003903,228.34779147293935,248.9305845009809
