team_name,season,wins,losses,pts_per_game,fg_pct,three_pt_pct,ft_pct,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,total_payroll,avg_hype,playstyle
Fresno Firehawks,1,35,47,116.8,0.444,0.296,0.765,28.2,26.4,8.6,4.5,12.2,121.1,3.44,Balanced
Tacoma Tridents,1,63,19,107.9,0.468,0.352,0.826,25.5,32.6,9.0,4.1,10.9,106.0,3.12,Inside Attack
Reno Rattlers,1,42,40,60.3,0.448,0.264,0.705,30.6,18.3,9.6,6.3,9.3,75.3,2.5,Lockdown
Boise Bighorns,1,34,48,112.9,0.445,0.315,0.736,31.1,32.0,10.7,5.0,12.8,112.9,3.44,3PT Barrage
Wichita Wolfpack,1,54,28,130.2,0.461,0.308,0.783,37.2,37.6,12.9,6.5,13.5,113.7,3.5,Run & Gun
Mobile Mariners,1,33,49,82.1,0.458,0.28,0.743,40.2,26.5,12.7,8.6,11.3,79.9,2.69,3PT Barrage
Albany Aviators,1,63,19,58.3,0.465,0.268,0.751,32.9,22.9,11.2,7.0,6.2,64.1,2.25,Lockdown
Lubbock Lancers,1,14,68,88.3,0.451,0.319,0.797,23.8,24.6,7.6,4.0,12.6,98.1,3.06,Lockdown
Dayton Dynamos,1,57,25,121.5,0.466,0.348,0.773,30.8,36.2,9.4,4.1,12.3,76.9,2.81,Run & Gun
Savannah Spartans,1,32,50,96.1,0.45,0.31,0.761,29.0,26.2,8.0,4.7,14.3,86.0,2.94,Balanced
Tulsa Thunderbirds,1,42,40,64.9,0.459,0.248,0.715,38.6,26.5,12.6,8.0,8.7,61.0,2.12,Balanced
Spokane Stallions,1,64,18,105.4,0.453,0.349,0.785,28.4,28.2,9.4,4.6,11.6,143.4,3.81,Lockdown
Knoxville Knights,1,38,44,116.4,0.451,0.312,0.746,32.4,36.3,10.4,5.7,12.6,135.3,3.62,Inside Attack
Amarillo Aces,1,42,40,94.4,0.466,0.258,0.794,41.7,25.8,14.1,8.7,12.9,73.1,2.5,Run & Gun
Chattanooga Chiefs,1,20,62,95.4,0.447,0.302,0.772,25.3,20.1,7.4,3.8,11.9,93.7,3.19,Lockdown
Provo Pioneers,1,35,47,102.8,0.439,0.332,0.743,30.1,27.4,11.4,5.0,12.5,99.6,3.06,Balanced
Bakersfield Bobcats,1,32,50,103.2,0.439,0.315,0.804,27.6,30.6,9.2,4.6,12.3,112.8,3.44,Balanced
Rockford Raptors,1,15,67,89.0,0.43,0.287,0.721,30.3,24.2,11.0,5.1,12.1,86.7,2.75,Inside Attack
Laredo Lobos,1,46,36,101.0,0.438,0.342,0.77,28.4,30.2,10.3,4.4,13.2,102.6,3.06,3PT Barrage
Springfield Sentinels,1,56,26,83.1,0.471,0.234,0.74,35.8,25.1,11.7,7.5,11.0,80.2,2.56,Inside Attack
Duluth Drifters,1,11,71,121.8,0.46,0.301,0.689,36.0,31.7,10.1,5.9,15.4,126.7,3.5,Run & Gun
Augusta Admirals,1,53,29,107.1,0.441,0.33,0.761,26.3,31.9,9.2,3.8,12.6,106.6,3.19,3PT Barrage
Peoria Panthers,1,64,18,60.8,0.445,0.298,0.78,32.4,21.4,10.5,6.7,7.6,62.3,2.38,Lockdown
Norfolk Navigators,1,66,16,63.6,0.472,0.242,0.738,32.6,21.3,10.9,7.1,7.0,59.2,2.31,Lockdown
Salem Sabers,1,42,40,111.8,0.444,0.37,0.758,28.3,30.4,8.8,4.2,11.9,97.5,3.06,Balanced
Waco Warriors,1,60,22,118.0,0.483,0.31,0.789,28.5,34.3,10.8,5.4,10.8,112.0,3.31,Inside Attack
Topeka Titans,1,16,66,85.7,0.454,0.305,0.726,21.1,23.2,7.0,2.9,10.3,118.3,3.25,Lockdown
Flint Falcons,1,20,62,114.1,0.441,0.3,0.711,28.9,25.7,8.9,5.1,14.9,102.6,3.25,Balanced
Odessa Outlaws,1,9,73,128.4,0.443,0.305,0.862,30.0,34.5,11.1,4.4,17.4,107.3,3.5,Run & Gun
Trenton Trailblazers,1,72,10,133.5,0.468,0.355,0.756,32.5,41.9,11.4,5.1,12.1,121.7,3.44,Run & Gun
Fresno Firehawks,2,7,75,123.5,0.448,0.31,0.738,33.2,30.7,9.4,5.6,17.6,102.3,3.12,Run & Gun
Tacoma Tridents,2,43,39,107.8,0.452,0.325,0.788,31.0,31.4,10.6,5.3,12.1,109.9,3.25,Inside Attack
Reno Rattlers,2,25,57,104.5,0.433,0.289,0.749,26.7,29.1,9.3,4.1,13.9,108.1,3.19,3PT Barrage
Boise Bighorns,2,12,70,90.9,0.431,0.307,0.747,27.6,25.4,8.7,4.2,13.0,95.2,2.88,Inside Attack
Wichita Wolfpack,2,32,50,81.4,0.453,0.268,0.738,36.1,18.9,11.8,7.0,10.0,64.6,2.38,Balanced
Mobile Mariners,2,34,48,132.3,0.471,0.279,0.787,29.0,31.3,10.5,4.4,15.8,122.0,3.31,Run & Gun
Albany Aviators,2,35,47,84.5,0.45,0.331,0.725,23.8,20.9,8.6,3.7,9.5,71.4,2.62,Lockdown
Lubbock Lancers,2,34,48,82.2,0.429,0.354,0.741,22.4,24.6,7.6,3.7,9.5,85.4,2.62,Lockdown
