player_id,name,position,age,years_pro,hype,salary_per_round,auction_round,personality,scout_grade,social_media_followers,games_played,mins_per_game,pts_per_game,fg_attempts_per_game,fg_pct,three_pt_pct,ft_pct,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,prev_pts_per_game,prev_fg_pct,prev_mins_per_game
1001,Yannick Ellington,W,30,10,2.5,6.5,,Quiet,C-,243491,63,24.1,10.6,11.3,0.372,0.249,0.612,3.5,2.7,1.6,0.9,1.6,12.2,0.373,25.7
1002,Emeka Dupree,G,31,10,4.5,28.0,,Leader,B,455912,40,22.7,12.5,12.8,0.385,0.242,0.707,1.6,7.8,1.2,0.1,0.7,12.8,0.383,24.1
1003,Bryce Castellanos,G,21,1,4.0,18.3,,Professional,B,1267328,78,24.8,14.6,15.0,0.368,0.243,0.685,2.2,5.0,1.4,0.3,1.8,14.7,0.370,24.6
1004,Cyrus Colter,G,31,11,5.0,,2,Diva,A-,8302510,54,28.0,18.8,21.0,0.340,0.253,0.685,1.0,4.0,0.8,0.1,3.7,19.6,0.360,28.0
1005,Cade Beckett,G,20,1,3.0,7.8,,Leader,B-,321396,43,24.2,11.5,12.2,0.355,0.263,0.700,1.6,4.3,1.3,0.1,1.5,10.9,0.360,22.7
1006,Scottie Winslow,G,24,3,3.0,10.7,,Quiet,C-,720781,41,24.8,14.3,14.7,0.362,0.256,0.674,1.4,3.9,1.5,0.0,1.8,14.6,0.360,23.7
1007,Dmitri Xanders,W,27,7,2.5,9.7,,Hothead,B-,786420,70,23.2,13.0,13.6,0.373,0.238,0.648,4.2,2.3,1.0,0.4,1.9,13.3,0.379,23.6
1008,Nolan Pryor,G,24,5,3.5,18.7,,Quiet,B-,608212,50,25.1,12.7,14.6,0.332,0.252,0.574,1.4,4.1,1.1,0.0,1.9,11.3,0.360,25.0
1009,Evan Kane,W,30,10,5.0,,5,Leader,A-,20000000,81,30.7,23.2,20.2,0.429,0.261,0.795,3.9,4.0,1.7,0.7,1.9,24.2,0.441,30.7
1010,Miles Everhart,G,30,9,5.0,,5,Professional,A-,6805015,51,26.1,19.5,21.5,0.347,0.225,0.588,1.1,4.4,0.8,0.0,2.8,20.8,0.360,26.3
1011,Kwame Godfrey,B,24,5,1.5,3.2,,Professional,A-,73199,79,19.9,7.7,7.2,0.420,0.247,0.679,8.4,1.8,1.3,2.4,0.8,7.4,0.414,19.3
1012,Ivan Flowers,W,25,5,2.5,7.7,,Professional,D,351599,73,21.9,11.8,11.6,0.379,0.278,0.656,3.9,3.0,1.0,0.4,1.6,12.5,0.371,22.2
1013,Terrence Kimura,G,21,1,3.5,12.1,,Diva,A-,384016,69,21.3,12.4,12.5,0.369,0.294,0.676,1.5,5.0,1.5,0.1,1.2,11.8,0.360,20.6
1014,Anton Sinclair,W,24,3,3.0,10.8,,Professional,B-,677173,58,22.3,13.4,13.1,0.382,0.258,0.709,3.2,3.3,0.9,0.3,1.4,13.0,0.362,20.4
1015,Isaiah Pemberton,G,27,6,4.0,18.4,,Hothead,B+,592208,74,23.3,13.8,14.9,0.348,0.257,0.624,1.6,5.4,1.3,0.0,1.6,13.3,0.360,24.1
1016,Sergei Whitfield,W,24,5,4.5,,3,Diva,A+,5894872,78,29.2,18.6,18.5,0.396,0.252,0.835,4.6,4.0,1.2,0.5,1.8,17.7,0.392,29.1
1017,Kenji Oakes,B,23,3,1.5,3.9,,Diva,A,117615,81,22.4,9.0,8.6,0.430,0.218,0.776,7.9,0.9,1.3,2.3,1.1,9.6,0.398,22.3
